Result Number,Landsat Product Identifier,Landsat Scene Identifier,Acquisition Date,Spacecraft Identifier,Scan Line Corrector,Collection Category,Collection Number,Sensor Mode,WRS Path,WRS Row,Date L-1 Generated,Start Time,Stop Time,Station Identifier,Day/Night Indicator,Land Cloud Cover,Scene Cloud Cover,Ground Control Points Model,Ground Control Points Version,Geometric RMSE Model (meters),Geometric RMSE Model X,Geometric RMSE Model Y,Image Quality,Gain Change,Processing Software Version,Full Partial Scene,Sun Elevation L-1,Sun Azimuth L-1,Gap Phase Source,Gap Phase Statistic,Data Type Level-1,Sensor Identifier,Ephemeris Type,Panchromatic Lines,Panchromatic Samples,Reflective Lines,Reflective Samples,Thermal Lines,Thermal Samples,Map Projection Level-1,UTM Zone,Datum,Ellipsoid,Grid Cell Size Panchromatic,Grid Cell Size Reflective,Grid Cell Size Thermal,Calibration Parameter File,Scan Gap Interpolation,Center Latitude,Center Longitude,UL Corner Lat,UL Corner Long,UR Corner Lat,UR Corner Long,LL Corner Lat,LL Corner Long,LR Corner Lat,LR Corner Long,Center Latitude dec,Center Longitude dec,UL Corner Lat dec,UL Corner Long dec,UR Corner Lat dec,UR Corner Long dec,LL Corner Lat dec,LL Corner Long dec,LR Corner Lat dec,LR Corner Long dec,Display ID,Ordering ID,Browse Link
11,LE07_L1TP_116036_20021231_20170127_01_T1,LE71160362002365EDC00,2002/12/31,LANDSAT_7,ON,T1,1,, 116, 036,2017/01/27,2002:365:01:59:58.1003749,2002:365:02:00:25.1979374,EDC Sioux Falls  South Dakota  USA (aka LGS),Day,42,47,58,4,4.484,3.164,3.178,9,N,LPGS_12.8.3,FULL,27.62718051,154.12128816,,,ETM_L1TP,ETM,DEFINITIVE,14041,15521,7021,7761,7021,7761,UTM,51,WGS84,WGS84,15,30,30,LE07CPF_20021001_20021231_01.02,-1,34°36'43.20"N,125°46'53.04"E,35°34'18.84"N,124°58'33.96"E,35°16'13.08"N,127°02'48.12"E,33°56'38.76"N,124°32'12.48"E,33°38'53.88"N,126°34'04.44"E,34.612,125.7814,35.5719,124.9761,35.2703,127.0467,33.9441,124.5368,33.6483,126.5679,LE07_L1TP_116036_20021231_20170127_01_T1,LE71160362002365EDC00,https://earthexplorer.usgs.gov/browse-link/12267/LE71160362002365EDC00
12,LE07_L1TP_116037_20021231_20170127_01_T2,LE71160372002365HAJ00,2002/12/31,LANDSAT_7,ON,T2,1,SAM, 116, 037,2017/01/27,2002:365:02:00:22.0184999,2002:365:02:00:49.1159999,HAJ - Hatoyama  Japan,Day,45,62,40,4,27.781,12.837,24.637,9,N,LPGS_12.8.3,FULL,28.81875917,153.51646945,NA,,ETM_L1TP,ETM,DEFINITIVE,14001,15461,7001,7731,7001,7731,UTM,51,WGS84,WGS84,15,30,30,LE07CPF_20021001_20021231_01.02,-1,33°10'19.34"N,125°24'21.56"E,34°07'47.75"N,124°36'44.17"E,33°50'01.86"N,126°38'52.15"E,32°30'03.42"N,124°10'59.48"E,32°12'37.01"N,126°10'54.52"E,33.17204,125.40599,34.12993,124.61227,33.83385,126.64782,32.50095,124.18319,32.21028,126.18181,LE07_L1TP_116037_20021231_20170127_01_T2,LE71160372002365HAJ00,https://earthexplorer.usgs.gov/browse-link/12267/LE71160372002365HAJ00
13,LE07_L1GT_116038_20021231_20170127_01_T2,LE71160382002365HAJ00,2002/12/31,LANDSAT_7,ON,T2,1,SAM, 116, 038,2017/01/27,2002:365:02:00:45.9365624,2002:365:02:01:13.0340625,HAJ - Hatoyama  Japan,Day,0,71,-1,-1,,,,9,N,LPGS_12.8.3,FULL,29.9903685,152.87201468,NA,,ETM_L1GT,ETM,DEFINITIVE,14081,15561,7041,7781,7041,7781,UTM,51,WGS84,WGS84,15,30,30,LE07CPF_20021001_20021231_01.02,-1,31°44'13.60"N,125°00'55.33"E,32°41'31.02"N,124°13'57.36"E,32°24'02.45"N,126°14'07.44"E,31°03'42.19"N,123°48'45.58"E,30°46'31.84"N,125°46'51.64"E,31.73711,125.01537,32.69195,124.2326,32.40068,126.2354,31.06172,123.81266,30.77551,125.78101,LE07_L1GT_116038_20021231_20170127_01_T2,LE71160382002365HAJ00,https://earthexplorer.usgs.gov/browse-link/12267/LE71160382002365HAJ00
14,LE07_L1GT_116039_20021231_20170127_01_T2,LE71160392002365HAJ00,2002/12/31,LANDSAT_7,ON,T2,1,SAM, 116, 039,2017/01/27,2002:365:02:01:09.7823749,2002:365:02:01:36.8798750,HAJ - Hatoyama  Japan,Day,0,77,-1,-1,,,,9,N,LPGS_12.8.3,FULL,31.15123866,152.2106312,NA,,ETM_L1GT,ETM,DEFINITIVE,14081,15581,7041,7791,7041,7791,UTM,51,WGS84,WGS84,15,30,30,LE07CPF_20021001_20021231_01.02,-1,30°18'05.11"N,124°38'03.98"E,31°15'25.67"N,123°51'44.03"E,30°58'13.19"N,125°50'04.42"E,29°37'33.89"N,123°27'01.40"E,29°20'38.51"N,125°23'26.27"E,30.30142,124.63444,31.25713,123.86223,30.97033,125.83456,29.62608,123.45039,29.34403,125.39063,LE07_L1GT_116039_20021231_20170127_01_T2,LE71160392002365HAJ00,https://earthexplorer.usgs.gov/browse-link/12267/LE71160392002365HAJ00
15,LE07_L1GT_116040_20021231_20170128_01_T2,LE71160402002365HAJ00,2002/12/31,LANDSAT_7,ON,T2,1,SAM, 116, 040,2017/01/28,2002:365:02:01:33.7004374,2002:365:02:02:00.7978749,HAJ - Hatoyama  Japan,Day,0,86,-1,-1,,,,9,N,LPGS_12.8.3,FULL,32.30755444,151.52602046,NA,,ETM_L1GT,ETM,DEFINITIVE,14101,15621,7051,7811,7051,7811,UTM,51,WGS84,WGS84,15,30,30,LE07CPF_20021001_20021231_01.02,-1,28°51'51.66"N,124°15'36.97"E,29°49'02.28"N,123°29'52.08"E,29°32'05.03"N,125°26'30.01"E,28°11'07.48"N,123°05'38.72"E,27°54'25.60"N,125°00'28.98"E,28.86435,124.26027,29.8173,123.4978,29.53473,125.44167,28.18541,123.09409,27.90711,125.00805,LE07_L1GT_116040_20021231_20170128_01_T2,LE71160402002365HAJ00,https://earthexplorer.usgs.gov/browse-link/12267/LE71160402002365HAJ00
16,LE07_L1GT_116041_20021231_20170127_01_T2,LE71160412002365HAJ00,2002/12/31,LANDSAT_7,ON,T2,1,SAM, 116, 041,2017/01/27,2002:365:02:01:57.6184999,2002:365:02:02:24.7160000,HAJ - Hatoyama  Japan,Day,0,100,-1,-1,,,,9,N,LPGS_12.8.3,FULL,33.45554056,150.8185324,NA,,ETM_L1GT,ETM,DEFINITIVE,14101,15621,7051,7811,7051,7811,UTM,51,WGS84,WGS84,15,30,30,LE07CPF_20021001_20021231_01.02,-1,27°25'35.65"N,123°53'43.08"E,28°22'35.87"N,123°08'26.27"E,28°05'52.22"N,125°03'28.69"E,26°44'36.85"N,122°44'37.18"E,26°28'08.33"N,124°37'59.59"E,27.42657,123.8953,28.37663,123.14063,28.09784,125.05797,26.74357,122.74366,26.46898,124.63322,LE07_L1GT_116041_20021231_20170127_01_T2,LE71160412002365HAJ00,https://earthexplorer.usgs.gov/browse-link/12267/LE71160412002365HAJ00
17,LE07_L1GT_116042_20021231_20170127_01_T2,LE71160422002365HAJ00,2002/12/31,LANDSAT_7,ON,T2,1,SAM, 116, 042,2017/01/27,2002:365:02:02:21.4642500,2002:365:02:02:48.5617499,HAJ - Hatoyama  Japan,Day,100,96,-1,-1,,,,9,N,LPGS_12.8.3,FULL,34.58909851,150.08415396,NA,,ETM_L1GT,ETM,DEFINITIVE,14121,15641,7061,7821,7061,7821,UTM,51,WGS84,WGS84,15,30,30,LE07CPF_20021001_20021231_01.02,-1,25°59'16.30"N,123°32'06.40"E,26°56'21.37"N,122°47'25.58"E,26°39'51.16"N,124°40'59.56"E,25°18'19.04"N,122°23'59.03"E,25°02'02.47"N,124°16'00.16"E,25.98786,123.53511,26.93927,122.79044,26.66421,124.68321,25.30529,122.39973,25.03402,124.26671,LE07_L1GT_116042_20021231_20170127_01_T2,LE71160422002365HAJ00,https://earthexplorer.usgs.gov/browse-link/12267/LE71160422002365HAJ00
18,LE07_L1GT_116043_20021231_20170128_01_T2,LE71160432002365HAJ00,2002/12/31,LANDSAT_7,ON,T2,1,SAM, 116, 043,2017/01/28,2002:365:02:02:45.3823124,2002:365:02:03:12.4798750,HAJ - Hatoyama  Japan,Day,56,65,-1,-1,,,,9,N,LPGS_12.8.3,FULL,35.71770722,149.32462549,NA,,ETM_L1GT,ETM,DEFINITIVE,14141,15661,7071,7831,7071,7831,UTM,51,WGS84,WGS84,15,30,30,LE07CPF_20021001_20021231_01.02,-1,24°32'53.20"N,123°10'50.95"E,25°29'48.41"N,122°26'42.29"E,25°13'30.25"N,124°18'53.86"E,23°51'46.58"N,122°03'36.32"E,23°35'41.03"N,123°54'21.92"E,24.54811,123.18082,25.49678,122.44508,25.22507,124.31496,23.86294,122.06009,23.59473,123.90609,LE07_L1GT_116043_20021231_20170128_01_T2,LE71160432002365HAJ00,https://earthexplorer.usgs.gov/browse-link/12267/LE71160432002365HAJ00
19,LE07_L1TP_116047_20021231_20170127_01_T1,LE71160472002365SGS00,2002/12/31,LANDSAT_7,ON,T1,1,, 116, 047,2017/01/27,2002:365:02:04:20.9822499,2002:365:02:04:48.0796874,SGS - Svalbard  Norway,Day,87,71,17,4,4.229,3.123,2.852,9,N,LPGS_12.8.3,FULL,40.09417276,145.94876891,,,ETM_L1TP,ETM,DEFINITIVE,14141,15681,7071,7841,7071,7841,UTM,51,WGS84,WGS84,15,30,30,LE07CPF_20021001_20021231_01.02,-1,18°47'16.80"N,121°47'27.60"E,19°43'58.44"N,121°04'51.96"E,19°28'18.48"N,122°52'32.16"E,18°05'45.60"N,120°42'52.20"E,17°50'15.00"N,122°29'31.20"E,18.788,121.791,19.7329,121.0811,19.4718,122.8756,18.096,120.7145,17.8375,122.492,LE07_L1TP_116047_20021231_20170127_01_T1,LE71160472002365SGS00,https://earthexplorer.usgs.gov/browse-link/12267/LE71160472002365SGS00
20,LE07_L1TP_116048_20021231_20170127_01_T1,LE71160482002365BKT00,2002/12/31,LANDSAT_7,ON,T1,1,SAM, 116, 048,2017/01/27,2002:365:02:04:44.8280000,2002:365:02:05:11.9254375,BKT - Bangkok  Thailand,Day,3,3,7,4,3.905,2.217,3.215,9,Y,LPGS_12.8.3,FULL,41.17872902,145.05140139,NA,,ETM_L1TP,ETM,DEFINITIVE,14141,15701,7071,7851,7071,7851,UTM,51,WGS84,WGS84,15,30,30,LE07CPF_20021001_20021231_01.02,-1,17°20'24.18"N,121°29'32.50"E,18°17'11.83"N,120°47'18.28"E,18°01'41.20"N,122°34'04.26"E,16°38'59.24"N,120°25'30.25"E,16°23'36.67"N,122°11'20.44"E,17.34005,121.49236,18.28662,120.78841,18.02811,122.56785,16.64979,120.42507,16.39352,122.18901,LE07_L1TP_116048_20021231_20170127_01_T1,LE71160482002365BKT00,https://earthexplorer.usgs.gov/browse-link/12267/LE71160482002365BKT00
21,LE07_L1TP_116049_20021231_20170127_01_T1,LE71160492002365BKT00,2002/12/31,LANDSAT_7,ON,T1,1,SAM, 116, 049,2017/01/27,2002:365:02:05:08.7459999,2002:365:02:05:35.8434374,BKT - Bangkok  Thailand,Day,49,46,19,4,6.197,5.203,3.366,9,N,LPGS_12.8.3,FULL,42.2302451,144.08304368,NA,,ETM_L1TP,ETM,DEFINITIVE,14141,15721,7071,7861,7071,7861,UTM,51,WGS84,WGS84,15,30,30,LE07CPF_20021001_20021231_01.02,-1,15°53'47.69"N,121°10'00.34"E,16°50'29.94"N,120°28'01.27"E,16°35'06.47"N,122°13'57.68"E,15°12'14.51"N,120°06'26.14"E,14°56'58.31"N,121°51'32.18"E,15.89658,121.16676,16.84165,120.46702,16.58513,122.23269,15.20403,120.10726,14.94953,121.85894,LE07_L1TP_116049_20021231_20170127_01_T1,LE71160492002365BKT00,https://earthexplorer.usgs.gov/browse-link/12267/LE71160492002365BKT00
22,LE07_L1TP_116050_20021231_20170127_01_T1,LE71160502002365SGS00,2002/12/31,LANDSAT_7,ON,T1,1,, 116, 050,2017/01/27,2002:365:02:05:32.6639999,2002:365:02:05:59.7614374,SGS - Svalbard  Norway,Day,13,10,74,4,5.401,3.253,4.312,9,N,LPGS_12.8.3,FULL,43.24301276,143.04485091,,,ETM_L1TP,ETM,DEFINITIVE,14141,15701,7071,7851,7071,7851,UTM,51,WGS84,WGS84,15,30,30,LE07CPF_20021001_20021231_01.02,-1,14°27'25.20"N,120°48'46.44"E,15°24'05.40"N,120°07'05.88"E,15°08'47.40"N,121°52'17.40"E,13°45'51.12"N,119°45'38.52"E,13°30'39.60"N,121°30'05.04"E,14.457,120.8129,15.4015,120.1183,15.1465,121.8715,13.7642,119.7607,13.511,121.5014,LE07_L1TP_116050_20021231_20170127_01_T1,LE71160502002365SGS00,https://earthexplorer.usgs.gov/browse-link/12267/LE71160502002365SGS00
23,LE07_L1TP_116051_20021231_20170127_01_T1,LE71160512002365SGS00,2002/12/31,LANDSAT_7,ON,T1,1,, 116, 051,2017/01/27,2002:365:02:05:56.5820000,2002:365:02:06:23.6794375,SGS - Svalbard  Norway,Day,12,10,121,4,4.834,2.82,3.926,9,N,LPGS_12.8.3,FULL,44.25972134,141.98823806,,,ETM_L1TP,ETM,DEFINITIVE,14141,15721,7071,7861,7071,7861,UTM,51,WGS84,WGS84,15,30,30,LE07CPF_20021001_20021231_01.02,-1,13°00'46.80"N,120°29'33.72"E,13°57'21.96"N,119°48'07.92"E,13°42'09.72"N,121°32'39.48"E,12°19'05.52"N,119°26'49.20"E,12°03'58.68"N,121°10'40.44"E,13.013,120.4927,13.9561,119.8022,13.7027,121.5443,12.3182,119.447,12.0663,121.1779,LE07_L1TP_116051_20021231_20170127_01_T1,LE71160512002365SGS00,https://earthexplorer.usgs.gov/browse-link/12267/LE71160512002365SGS00
24,LE07_L1TP_116052_20021231_20170128_01_T1,LE71160522002365SGS00,2002/12/31,LANDSAT_7,ON,T1,1,, 116, 052,2017/01/28,2002:365:02:06:20.5000000,2002:365:02:06:47.5975000,SGS - Svalbard  Norway,Day,19,7,112,4,6.508,4.622,4.582,9,N,LPGS_12.8.3,FULL,45.25772081,140.88325622,,,ETM_L1TP,ETM,DEFINITIVE,14121,15701,7061,7851,7061,7851,UTM,51,WGS84,WGS84,15,30,30,LE07CPF_20021001_20021231_01.02,-1,11°34'04.80"N,120°10'31.44"E,12°30'36.72"N,119°29'16.80"E,12°15'29.16"N,121°13'12.72"E,10°52'18.48"N,119°08'05.64"E,10°37'16.32"N,120°51'26.64"E,11.568,120.1754,12.5102,119.488,12.2581,121.2202,10.8718,119.1349,10.6212,120.8574,LE07_L1TP_116052_20021231_20170128_01_T1,LE71160522002365SGS00,https://earthexplorer.usgs.gov/browse-link/12267/LE71160522002365SGS00
25,LE07_L1TP_116053_20021231_20170127_01_T1,LE71160532002365SGS00,2002/12/31,LANDSAT_7,ON,T1,1,, 116, 053,2017/01/27,2002:365:02:06:44.3457499,2002:365:02:07:11.4431874,SGS - Svalbard  Norway,Day,15,15,129,4,4.344,2.708,3.397,9,N,LPGS_12.8.3,FULL,46.22881634,139.72591004,,,ETM_L1TP,ETM,DEFINITIVE,13921,15521,6961,7761,6961,7761,UTM,50,WGS84,WGS84,15,30,30,LE07CPF_20021001_20021231_01.02,-1,10°07'22.80"N,119°51'34.56"E,11°04'05.16"N,119°10'35.04"E,10°49'02.64"N,120°54'00.00"E,9°25'47.28"N,118°49'28.20"E,9°10'49.08"N,120°32'22.56"E,10.123,119.8596,11.0681,119.1764,10.8174,120.9,9.4298,118.8245,9.1803,120.5396,LE07_L1TP_116053_20021231_20170127_01_T1,LE71160532002365SGS00,https://earthexplorer.usgs.gov/browse-link/12267/LE71160532002365SGS00
